file length: 10000
fixed file:  false
order replicate index language algorithm seconds
270 18 10 Java Mergesort 0.39131
271 19 12 Python Binarytree 0.47325
272 19 1 C# Mergesort 0.09229
273 19 9 Java Binarytree 0.41475
274 19 10 Java Mergesort 0.39157
275 19 8 Go Quicksort 0.16919
276 19 11 Java Quicksort 0.32549
277 19 2 C# Quicksort 0.08756
278 19 7 Go Mergesort 0.17884
279 19 6 Go Binarytree 0.21416
280 19 14 Python Quicksort 0.37203
281 19 3 C++ Binarytree 0.09019
282 19 4 C++ Mergesort 0.10429
283 19 0 C# Binarytree 0.12437
284 19 5 C++ Quicksort 0.08579
285 19 13 Python Mergesort 0.38111
286 20 8 Go Quicksort 0.18545
287 20 4 C++ Mergesort 0.07179
288 20 9 Java Binarytree 0.38354
289 20 13 Python Mergesort 0.35000
290 20 6 Go Binarytree 0.20100
291 20 12 Python Binarytree 0.42109
292 20 7 Go Mergesort 0.20253
293 20 0 C# Binarytree 0.10336
294 20 11 Java Quicksort 0.33781
295 20 5 C++ Quicksort 0.08273
296 20 10 Java Mergesort 0.35092
297 20 1 C# Mergesort 0.10923
298 20 3 C++ Binarytree 0.09503
299 20 2 C# Quicksort 0.08906
300 20 14 Python Quicksort 0.37646
301 21 12 Python Binarytree 0.41017
302 21 9 Java Binarytree 0.37143
303 21 3 C++ Binarytree 0.15398
304 21 7 Go Mergesort 0.15694
305 21 10 Java Mergesort 0.30061
306 21 6 Go Binarytree 0.20375
307 21 5 C++ Quicksort 0.11818
308 21 8 Go Quicksort 0.20617
309 21 2 C# Quicksort 0.11358
310 21 4 C++ Mergesort 0.07272
311 21 11 Java Quicksort 0.42293
312 21 0 C# Binarytree 0.13122
313 21 14 Python Quicksort 0.43176
314 21 13 Python Mergesort 0.38295
315 21 1 C# Mergesort 0.08873
316 22 9 Java Binarytree 0.33828
317 22 11 Java Quicksort 0.40761
318 22 1 C# Mergesort 0.12078
319 22 14 Python Quicksort 0.32902
320 22 13 Python Mergesort 0.36138
321 22 2 C# Quicksort 0.08926
322 22 5 C++ Quicksort 0.08496
323 22 0 C# Binarytree 0.10702
324 22 4 C++ Mergesort 0.07468
325 22 8 Go Quicksort 0.15223
326 22 7 Go Mergesort 0.19085
327 22 10 Java Mergesort 0.32372
328 22 3 C++ Binarytree 0.12743
329 22 12 Python Binarytree 0.42699
330 22 6 Go Binarytree 0.22991
331 23 4 C++ Mergesort 0.07306
332 23 5 C++ Quicksort 0.10895
333 23 3 C++ Binarytree 0.12708
334 23 6 Go Binarytree 0.23055
335 23 11 Java Quicksort 0.32674
336 23 12 Python Binarytree 0.33176
337 23 0 C# Binarytree 0.09712
338 23 2 C# Quicksort 0.09929
339 23 1 C# Mergesort 0.09544
340 23 13 Python Mergesort 0.32642
341 23 7 Go Mergesort 0.24849
342 23 10 Java Mergesort 0.39684
343 23 14 Python Quicksort 0.37076
344 23 9 Java Binarytree 0.37933
345 23 8 Go Quicksort 0.18362
346 24 2 C# Quicksort 0.14148
347 24 4 C++ Mergesort 0.12539
348 24 9 Java Binarytree 0.36028
349 24 3 C++ Binarytree 0.09880
350 24 13 Python Mergesort 0.35125
351 24 12 Python Binarytree 0.36877
352 24 6 Go Binarytree 0.20310
353 24 5 C++ Quicksort 0.07944
354 24 8 Go Quicksort 0.16962
355 24 7 Go Mergesort 0.24254
356 24 10 Java Mergesort 0.37973
357 24 0 C# Binarytree 0.14012
358 24 1 C# Mergesort 0.11827
359 24 14 Python Quicksort 0.35914
360 24 11 Java Quicksort 0.36703
361 25 3 C++ Binarytree 0.08963
362 25 0 C# Binarytree 0.10713
363 25 14 Python Quicksort 0.29721
364 25 10 Java Mergesort 0.30952
365 25 9 Java Binarytree 0.36165
366 25 8 Go Quicksort 0.22847
367 25 4 C++ Mergesort 0.07511
368 25 11 Java Quicksort 0.31266
369 25 12 Python Binarytree 0.40776
370 25 2 C# Quicksort 0.15243
371 25 5 C++ Quicksort 0.07458
372 25 1 C# Mergesort 0.09204
373 25 7 Go Mergesort 0.17225
374 25 6 Go Binarytree 0.19752
375 25 13 Python Mergesort 0.36550
376 26 4 C++ Mergesort 0.10395
377 26 7 Go Mergesort 0.19202
378 26 11 Java Quicksort 0.42205
379 26 14 Python Quicksort 0.29844
380 26 2 C# Quicksort 0.15173
381 26 0 C# Binarytree 0.13336
382 26 1 C# Mergesort 0.09203
383 26 8 Go Quicksort 0.20785
384 26 3 C++ Binarytree 0.10692
385 26 5 C++ Quicksort 0.09256
386 26 13 Python Mergesort 0.32621
387 26 10 Java Mergesort 0.35336
388 26 6 Go Binarytree 0.17473
389 26 12 Python Binarytree 0.36002
390 26 9 Java Binarytree 0.32508
391 27 6 Go Binarytree 0.22420
392 27 14 Python Quicksort 0.30196
393 27 4 C++ Mergesort 0.09802
394 27 5 C++ Quicksort 0.15219
395 27 13 Python Mergesort 0.42481
396 27 1 C# Mergesort 0.15648
397 27 11 Java Quicksort 0.38975
398 27 3 C++ Binarytree 0.08959
399 27 0 C# Binarytree 0.09515
400 27 12 Python Binarytree 0.38179
401 27 10 Java Mergesort 0.33734
402 27 2 C# Quicksort 0.13092
403 27 8 Go Quicksort 0.15818
404 27 9 Java Binarytree 0.37134
405 27 7 Go Mergesort 0.33692
406 28 12 Python Binarytree 0.36574
407 28 14 Python Quicksort 0.31332
408 28 1 C# Mergesort 0.14381
409 28 8 Go Quicksort 0.15301
410 28 9 Java Binarytree 0.45022
411 28 4 C++ Mergesort 0.08942
412 28 0 C# Binarytree 0.09725
413 28 7 Go Mergesort 0.16456
414 28 5 C++ Quicksort 0.08772
415 28 13 Python Mergesort 0.36501
416 28 2 C# Quicksort 0.10930
417 28 3 C++ Binarytree 0.10399
418 28 6 Go Binarytree 0.21326
419 28 10 Java Mergesort 0.30710
420 28 11 Java Quicksort 0.35015
421 29 4 C++ Mergesort 0.11925
422 29 6 Go Binarytree 0.20487
423 29 14 Python Quicksort 0.32053
424 29 1 C# Mergesort 0.10157
425 29 10 Java Mergesort 0.33156
426 29 2 C# Quicksort 0.11197
427 29 11 Java Quicksort 0.32551
428 29 13 Python Mergesort 0.38165
429 29 8 Go Quicksort 0.24524
430 29 3 C++ Binarytree 0.10707
431 29 0 C# Binarytree 0.09608
432 29 9 Java Binarytree 0.50820
433 29 7 Go Mergesort 0.19387
434 29 5 C++ Quicksort 0.08275
435 29 12 Python Binarytree 0.38439
436 30 12 Python Binarytree 0.48759
437 30 10 Java Mergesort 0.35320
438 30 5 C++ Quicksort 0.08546
439 30 14 Python Quicksort 0.32891
440 30 11 Java Quicksort 0.41669
441 30 7 Go Mergesort 0.27568
442 30 1 C# Mergesort 0.10820
443 30 9 Java Binarytree 0.34480
444 30 0 C# Binarytree 0.09805
445 30 3 C++ Binarytree 0.09382
446 30 6 Go Binarytree 0.22491
447 30 2 C# Quicksort 0.10196
448 30 4 C++ Mergesort 0.07955
449 30 13 Python Mergesort 0.40289
450 30 8 Go Quicksort 0.16881
451 31 13 Python Mergesort 0.39107
452 31 3 C++ Binarytree 0.16682
453 31 12 Python Binarytree 0.36269
454 31 7 Go Mergesort 0.18040
455 31 1 C# Mergesort 0.09682
456 31 14 Python Quicksort 0.31956
457 31 11 Java Quicksort 0.30183
458 31 2 C# Quicksort 0.10050
459 31 8 Go Quicksort 0.16135
460 31 9 Java Binarytree 0.42857
461 31 4 C++ Mergesort 0.07718
462 31 6 Go Binarytree 0.16550
463 31 10 Java Mergesort 0.35981
464 31 5 C++ Quicksort 0.07789
465 31 0 C# Binarytree 0.10803
466 32 9 Java Binarytree 0.32235
467 32 6 Go Binarytree 0.18780
468 32 8 Go Quicksort 0.20813
469 32 4 C++ Mergesort 0.10408
470 32 10 Java Mergesort 0.45562
471 32 2 C# Quicksort 0.10765
472 32 7 Go Mergesort 0.16436
473 32 11 Java Quicksort 0.40497
474 32 3 C++ Binarytree 0.14180
475 32 0 C# Binarytree 0.16850
476 32 13 Python Mergesort 0.47604
477 32 12 Python Binarytree 0.37796
478 32 14 Python Quicksort 0.30904
479 32 1 C# Mergesort 0.13595
480 32 5 C++ Quicksort 0.09448
481 33 5 C++ Quicksort 0.09971
482 33 0 C# Binarytree 0.09830
483 33 6 Go Binarytree 0.15784
484 33 13 Python Mergesort 0.37662
485 33 14 Python Quicksort 0.29412
486 33 3 C++ Binarytree 0.15515
487 33 9 Java Binarytree 0.38818
488 33 8 Go Quicksort 0.15967
489 33 4 C++ Mergesort 0.08054
490 33 7 Go Mergesort 0.19563
491 33 2 C# Quicksort 0.09286
492 33 11 Java Quicksort 0.38770
493 33 1 C# Mergesort 0.09965
494 33 12 Python Binarytree 0.40878
495 33 10 Java Mergesort 0.35399
496 34 13 Python Mergesort 0.37910
497 34 11 Java Quicksort 0.35448
498 34 4 C++ Mergesort 0.08331
499 34 9 Java Binarytree 0.31880
500 34 0 C# Binarytree 0.12727
501 34 8 Go Quicksort 0.18204
502 34 3 C++ Binarytree 0.14660
503 34 5 C++ Quicksort 0.12768
504 34 12 Python Binarytree 0.48625
505 34 7 Go Mergesort 0.22161
506 34 14 Python Quicksort 0.34991
507 34 10 Java Mergesort 0.36277
508 34 1 C# Mergesort 0.13854
509 34 6 Go Binarytree 0.18966
510 34 2 C# Quicksort 0.15459
511 35 12 Python Binarytree 0.34054
512 35 1 C# Mergesort 0.13697
513 35 10 Java Mergesort 0.38039
514 35 8 Go Quicksort 0.16118
515 35 5 C++ Quicksort 0.09199
516 35 13 Python Mergesort 0.40959
517 35 2 C# Quicksort 0.12025
518 35 0 C# Binarytree 0.12599
519 35 3 C++ Binarytree 0.10245
520 35 9 Java Binarytree 0.32621
521 35 4 C++ Mergesort 0.11280
522 35 7 Go Mergesort 0.16885
523 35 11 Java Quicksort 0.35849
524 35 6 Go Binarytree 0.16205
525 35 14 Python Quicksort 0.35411
526 36 6 Go Binarytree 0.19363
527 36 11 Java Quicksort 0.37523
528 36 14 Python Quicksort 0.31498
529 36 4 C++ Mergesort 0.07561
530 36 0 C# Binarytree 0.11001
531 36 2 C# Quicksort 0.10671
532 36 13 Python Mergesort 0.36425
533 36 8 Go Quicksort 0.17688
534 36 5 C++ Quicksort 0.08686
535 36 10 Java Mergesort 0.33344
536 36 1 C# Mergesort 0.11209
537 36 12 Python Binarytree 0.37103
538 36 3 C++ Binarytree 0.10536
539 36 7 Go Mergesort 0.15776
540 36 9 Java Binarytree 0.36137
541 37 7 Go Mergesort 0.22380
542 37 9 Java Binarytree 0.33325
543 37 12 Python Binarytree 0.50134
544 37 5 C++ Quicksort 0.13679
545 37 1 C# Mergesort 0.11998
546 37 3 C++ Binarytree 0.09729
547 37 13 Python Mergesort 0.40469
548 37 11 Java Quicksort 0.33605
549 37 10 Java Mergesort 0.37111
550 37 8 Go Quicksort 0.24609
551 37 6 Go Binarytree 0.16186
552 37 0 C# Binarytree 0.13185
553 37 2 C# Quicksort 0.11215
554 37 14 Python Quicksort 0.31036
555 37 4 C++ Mergesort 0.07628
556 38 5 C++ Quicksort 0.09013
557 38 10 Java Mergesort 0.35666
558 38 1 C# Mergesort 0.12475
559 38 8 Go Quicksort 0.19031
560 38 7 Go Mergesort 0.24118
561 38 3 C++ Binarytree 0.09593
562 38 9 Java Binarytree 0.40267
563 38 12 Python Binarytree 0.43884
564 38 6 Go Binarytree 0.18917
565 38 11 Java Quicksort 0.41016
566 38 13 Python Mergesort 0.34541
